event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.80,3.48,4.05,98150,29600,53900,176650,0,218200,1685000,1,0,2,
336,F,1.98,3.35,4.06,68650,26650,45600,0,62600,175000,1680000,0,2,1,
335,L,1.84,3.43,4.52,65550,23750,36300,120600,81400,0,1675000,2,1,0,
334,X,1.81,3.55,4.42,42800,15200,24450,77450,0,107900,1670000,1,0,27,
333,F,1.80,3.38,4.56,38900,14850,21250,0,35300,86800,1665000,0,2,26,
332,F,1.93,3.38,4.17,32000,13400,21350,0,31850,79000,1660000,0,1,25,
331,X,1.80,3.39,4.80,21750,9800,12600,39150,0,60350,1655000,1,0,24,
330,F,1.92,3.34,4.09,20550,9450,14450,0,22000,49100,1650000,0,2,23,
329,F,1.91,3.31,4.01,19800,9050,13950,0,20850,45800,1645000,0,1,22,
328,X,1.83,3.59,4.38,12500,6250,9100,22850,0,39850,1640000,2,0,21,
327,X,1.97,3.35,4.07,8250,5450,7550,16250,0,30600,1635000,1,0,20,
326,F,1.84,3.39,4.20,10000,5650,7750,0,13450,22400,1630000,0,2,19,
325,F,1.81,3.46,4.08,11250,5700,8400,0,13950,24150,1625000,0,1,18,
324,X,1.90,3.37,4.31,6850,4950,6200,13000,0,26700,1620000,2,0,17,
323,X,1.81,3.31,4.35,5600,4400,5100,10100,0,22050,1615000,1,0,16,
322,F,1.81,3.47,4.40,6800,4650,5850,0,11400,15700,1610000,0,2,15,
321,F,1.86,3.33,4.24,8400,5350,6850,0,12350,18900,1605000,0,1,14,
320,X,1.90,3.40,4.29,5650,4500,5550,10700,0,23700,1600000,1,0,13,
319,F,1.85,3.54,4.16,7300,4650,6550,0,11700,17150,1595000,0,2,12,
318,F,1.82,3.30,4.20,9300,5500,7100,0,12600,19700,1590000,0,1,11,
317,X,1.85,3.43,4.03,6200,4350,5900,11450,0,23750,1585000,1,0,10,
316,F,1.81,3.62,4.25,7100,4450,6300,0,11650,16750,1580000,0,2,9,
315,F,1.81,3.84,4.12,8250,4450,7200,0,12500,19600,1575000,0,1,8,
314,X,1.86,3.64,4.08,5850,4100,5900,10850,0,24050,1570000,2,0,7,
313,X,1.86,3.34,4.24,9200,2900,2800,17100,0,11750,1565000,1,0,6,
312,F,1.82,3.61,4.02,8950,2300,2450,0,6000,9700,1560000,0,3,5,
311,F,1.83,3.48,4.59,1950,3250,3350,0,8000,5250,1555000,0,2,4,
310,F,1.82,3.62,4.30,9500,2750,3000,0,7100,12800,1550000,0,1,3,
309,X,1.81,3.47,4.52,1550,3100,3150,2800,0,14100,1545000,1,0,2,
308,F,1.81,3.61,4.50,3600,3600,4300,0,9300,9250,1540000,0,3,1,
307,L,1.81,3.87,4.14,8850,2150,2450,16000,8250,0,1535000,1,2,0,
306,F,1.84,3.35,4.10,2700,3400,3850,0,7950,5700,1530000,0,1,6,
305,X,1.80,3.81,4.12,2200,2900,3850,3950,0,15850,1525000,2,0,5,
304,X,1.81,3.40,4.55,2350,3400,3500,4250,0,15800,1520000,1,0,4,
303,F,1.82,3.51,4.47,4350,3900,4650,0,9750,10700,1515000,0,2,3,
302,F,1.87,3.52,4.26,6050,4400,5850,0,11000,14800,1510000,0,1,2,
301,X,1.82,3.39,4.08,5100,4050,5100,9250,0,20700,1505000,4,0,1,
300,L,1.85,3.49,4.10,5750,4200,5650,10600,14600,0,1500000,3,2,0,
299,L,1.82,3.37,4.03,9800,3000,3250,17800,10100,0,1495000,2,1,0,
298,X,1.82,3.74,4.07,1550,2750,3500,2800,0,14100,1490000,1,0,2,
297,F,1.88,3.39,4.07,4000,3800,4700,0,9050,9000,1485000,0,5,1,
296,L,1.82,3.51,4.46,8750,2150,1650,15900,7450,0,1480000,1,4,0,
295,F,1.84,3.51,4.09,1500,2900,3350,0,7250,3600,1475000,0,3,4,
294,F,1.80,3.52,4.32,3650,3600,4300,0,9000,8500,1470000,0,2,3,
293,F,1.84,3.55,4.17,5500,4100,5500,0,10350,12850,1465000,0,1,2,
292,X,1.83,3.42,4.29,4300,3900,4650,7850,0,19850,1460000,2,0,1,
291,L,1.83,3.71,4.05,8800,2300,2550,16100,8500,0,1455000,1,3,0,
290,F,1.85,3.40,4.51,2250,3400,3500,0,8150,5700,1450000,0,2,4,
289,F,1.83,3.37,4.29,4800,4100,4850,0,9650,10700,1445000,0,1,3,
288,X,1.81,3.76,4.03,3650,3250,4700,6600,0,18900,1440000,4,0,2,
287,X,1.80,3.56,4.23,3200,3400,4150,5750,0,17400,1435000,3,0,1,
286,L,1.80,3.57,4.57,4450,3900,4650,8000,13850,0,1430000,2,1,0,
285,X,1.80,3.40,4.40,9450,2550,2150,17000,0,9450,1425000,1,0,6,
284,F,1.83,3.45,4.55,2050,3300,3400,0,8000,5350,1420000,0,2,5,
283,F,1.82,3.38,4.40,4550,4050,4650,0,9600,10350,1415000,0,1,4,
282,X,1.85,3.69,4.14,8550,2250,2300,15800,0,9500,1410000,1,0,3,
281,F,1.87,3.34,4.45,2150,3400,3450,0,7950,5250,1405000,0,9,2,
280,F,1.95,3.40,4.03,4250,3950,5050,0,9450,10300,1400000,0,8,1,
279,L,1.81,3.68,4.14,9050,2300,2400,16350,8350,0,1395000,1,7,0,
278,F,1.87,3.67,4.12,8200,2100,1950,0,5500,8000,1390000,0,6,3,
277,F,1.84,3.41,4.31,8500,2100,1550,0,5000,6550,1385000,0,5,2,
276,F,1.80,3.30,4.78,1100,3150,2700,0,7200,2800,1380000,0,4,1,
275,L,1.95,3.33,4.20,2750,3600,4000,5350,11950,0,1375000,1,3,0,
274,F,1.81,3.37,4.37,5000,4200,4850,0,9900,11150,1370000,0,2,1,
