event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.85,3.62,4.10,2450,3100,3950,4500,0,16050,1685000,1,0,2,
336,F,1.98,3.31,4.06,8300,3100,3250,0,7100,13100,1680000,0,2,1,
335,L,1.81,3.54,4.29,2850,3350,3950,5150,11800,0,1675000,2,1,0,
334,X,1.86,3.48,4.11,2700,3300,4000,5000,0,16350,1670000,1,0,27,
333,F,1.81,3.78,4.27,4200,3500,4900,0,9700,10800,1665000,0,2,26,
332,F,1.92,3.53,4.01,6000,4300,6200,0,10850,14750,1660000,0,1,25,
331,X,1.82,3.36,4.52,4700,4200,4650,8550,0,20850,1655000,1,0,24,
330,F,1.83,3.45,4.19,6650,4500,6000,0,11000,15000,1650000,0,2,23,
329,F,1.82,3.35,4.02,8700,5100,7000,0,11900,18100,1645000,0,1,22,
328,X,1.80,3.66,4.15,5600,3900,5550,10050,0,22950,1640000,2,0,21,
327,X,1.97,3.31,4.12,8150,2900,2850,16050,0,11700,1635000,1,0,20,
326,F,1.82,3.33,4.02,9300,2600,2400,0,5950,9550,1630000,0,2,19,
325,F,1.90,3.41,4.15,2250,3300,3700,0,7850,5250,1625000,0,1,18,
324,X,1.80,3.43,4.68,2150,3350,3350,3850,0,15550,1620000,2,0,17,
323,X,1.85,3.41,4.09,2550,3300,3850,4700,0,15600,1615000,1,0,16,
322,F,1.86,3.35,4.36,9350,3000,2900,0,7050,12600,1610000,0,2,15,
321,F,1.80,3.34,4.27,3750,3750,4250,0,8750,8000,1605000,0,1,14,
320,X,1.83,3.44,4.26,3050,3500,4000,5550,0,16950,1600000,1,0,13,
319,F,1.87,3.67,4.08,4600,3700,5300,0,9850,11550,1595000,0,2,12,
318,F,1.89,3.43,4.20,6250,4550,6000,0,11050,15050,1590000,0,1,11,
317,X,1.84,3.75,4.13,4600,3600,5250,8450,0,21650,1585000,1,0,10,
316,F,1.81,3.53,4.14,6800,4400,6100,0,11100,15200,1580000,0,2,9,
315,F,1.80,3.41,4.22,8400,5000,6700,0,12050,18150,1575000,0,1,8,
314,X,1.83,3.51,4.11,5750,4150,5600,10500,0,23000,1570000,2,0,7,
313,X,1.82,3.35,4.69,9500,2750,2250,17250,0,10500,1565000,1,0,6,
