event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.85,3.33,4.07,9500,3050,3150,17550,0,12800,1685000,1,0,2,
336,F,1.85,3.42,4.01,3650,3600,4500,0,8650,8000,1680000,0,2,1,
335,L,1.85,3.49,4.04,4750,3850,5150,8750,13400,0,1675000,2,1,0,
334,X,1.92,3.38,4.28,8200,2500,2200,15700,0,9400,1670000,1,0,27,
333,F,1.83,3.81,4.08,1900,2800,3750,0,7850,5300,1665000,0,2,26,
332,F,1.80,3.33,4.37,4650,4100,4600,0,9450,9950,1660000,0,1,25,
331,X,1.84,3.37,4.01,3750,3650,4500,6900,0,17900,1655000,1,0,24,
330,F,1.86,3.36,4.65,4750,4350,4700,0,10200,11800,1650000,0,2,23,
329,F,1.80,3.59,4.02,7350,4350,6500,0,11250,16050,1645000,0,1,22,
328,X,1.81,3.31,4.55,5150,4400,4750,9300,0,21500,1640000,2,0,21,
327,X,1.84,3.45,4.53,9050,2600,2250,16650,0,10150,1635000,1,0,20,
326,F,1.82,3.40,4.66,2350,3450,3450,0,8250,5900,1630000,0,2,19,
325,F,1.82,3.84,4.09,4400,3450,5150,0,9700,11000,1625000,0,1,18,
324,X,1.88,3.38,4.26,3650,3800,4400,6850,0,18700,1620000,2,0,17,
323,X,1.81,3.74,4.30,8650,2000,1800,15650,0,7650,1615000,1,0,16,
322,F,1.85,3.61,4.22,1400,2850,3300,0,7400,3850,1610000,0,2,15,
321,F,1.84,3.31,4.65,3650,4000,4050,0,9200,8750,1605000,0,1,14,
320,X,1.84,3.32,4.18,8750,2350,1900,16100,0,7800,1600000,1,0,13,
319,F,1.81,3.35,4.13,1950,3150,3400,0,7400,3900,1595000,0,2,12,
318,F,1.82,3.31,4.85,3550,4050,3850,0,9250,8650,1590000,0,1,11,
317,X,1.90,3.47,4.21,3200,3550,4300,6050,0,18000,1585000,1,0,10,
316,F,1.87,3.31,4.21,5450,4400,5300,0,10150,12300,1580000,0,2,9,
315,F,1.82,3.41,4.41,6850,4750,5850,0,11400,15750,1575000,0,1,8,
314,X,1.85,3.51,4.32,4950,4050,5150,9150,0,22150,1570000,2,0,7,
313,X,1.95,3.41,4.08,8150,2700,2800,15850,0,11300,1565000,1,0,6,
312,F,1.81,3.31,4.41,9400,2600,2100,0,5900,9100,1560000,0,3,5,
311,F,1.85,3.62,4.22,1900,3000,3600,0,7800,5100,1555000,0,2,4,
310,F,1.89,3.30,4.29,9050,3050,2900,0,6950,12350,1550000,0,1,3,
309,X,1.89,3.38,4.25,1500,3100,3200,2800,0,13600,1545000,1,0,2,
308,F,1.84,3.62,4.26,3500,3500,4400,0,9050,8700,1540000,0,3,1,
307,L,1.80,3.44,4.42,5100,4150,4900,9150,14200,0,1535000,1,2,0,
306,F,1.90,3.40,4.04,6700,4650,6350,0,11150,15650,1530000,0,1,6,
305,X,1.83,3.58,4.09,9400,2800,3250,17200,0,13250,1525000,2,0,5,
