event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.87,3.32,4.56,26900,8500,9150,50300,0,41650,-78400,1,0,2,
336,F,1.82,3.54,4.57,20550,6850,7650,0,17350,34800,-88400,0,2,1,
335,L,1.81,3.56,4.52,12350,6250,2850,22350,22150,0,-98400,2,1,0,
334,X,1.91,3.34,4.31,13950,5250,3050,26600,0,13050,-94650,1,0,27,
333,F,1.81,3.49,4.70,19600,5850,2750,0,14500,12750,-104650,0,2,26,
332,F,1.82,3.56,4.53,12200,6200,2850,0,22050,12850,-114650,0,1,25,
331,X,1.95,3.35,4.01,13350,5250,3350,26000,0,13350,-124650,1,0,24,
330,F,1.92,3.34,4.00,17500,6100,3350,0,14200,13350,-134650,0,2,23,
329,F,1.83,3.32,4.21,12050,6300,3150,0,20850,13150,-144650,0,1,22,
328,X,1.85,3.60,4.12,11800,6150,3250,21800,0,13250,-154650,2,0,21,
327,X,1.88,3.60,4.11,14050,4650,3250,26400,0,13250,-164650,1,0,20,
326,F,1.82,3.34,4.53,19550,6000,2850,0,13950,12850,-174650,0,2,19,
325,F,1.81,3.42,4.66,12350,5950,2750,0,20300,12750,-184650,0,1,18,
324,X,1.89,3.43,4.18,11250,6750,3150,21250,0,13150,-194650,2,0,17,
323,X,1.81,3.38,4.62,15650,5250,2800,28300,0,12800,-204650,1,0,16,
322,F,1.81,3.88,4.07,18650,5100,3300,0,14650,13300,-214650,0,2,15,
321,F,1.82,3.53,4.44,12200,6400,2950,0,22550,12950,-224650,0,1,14,
320,X,1.88,3.32,4.05,14450,5350,3300,27150,0,13300,-234650,1,0,13,
319,F,1.87,3.70,4.04,17800,5450,3300,0,14650,13300,-244650,0,2,12,
318,F,1.87,3.46,4.33,11500,6500,3050,0,22450,13050,-254650,0,1,11,
317,X,1.88,3.54,4.14,14100,4800,3200,26500,0,13200,-264650,1,0,10,
316,F,1.83,3.31,4.44,19400,6100,2950,0,14000,12950,-274650,0,2,9,
315,F,1.82,3.53,4.33,12200,5750,3050,0,20200,13050,-284650,0,1,8,
314,X,1.83,3.41,4.75,12050,7500,2700,22050,0,12700,-294650,2,0,7,
313,X,1.91,3.55,4.05,13950,4850,5000,26600,0,20200,-304650,1,0,6,
312,F,1.92,3.39,4.08,10900,4200,3250,0,14200,13250,-314650,0,3,5,
311,F,1.83,3.70,4.05,44300,16700,30100,0,45050,111750,-187850,0,2,4,GREEN
310,F,1.91,3.35,4.35,23000,15800,21800,0,52850,83900,-197850,0,1,3,
309,X,1.82,3.51,4.12,31550,9100,12800,57400,0,52650,-207850,1,0,2,
308,F,1.85,3.76,4.07,15850,6850,9950,0,22200,40450,-217850,0,3,1,
307,L,1.84,3.53,4.40,17650,4800,2950,32450,16850,0,-227850,1,2,0,
306,F,1.81,3.62,4.42,12350,3850,2950,0,13850,12950,-233100,0,1,6,
305,X,1.80,3.56,4.36,21000,17500,27100,37800,0,118050,-107250,2,0,5,GREEN
304,X,1.81,3.57,4.23,28600,12950,19850,51750,0,83950,-117250,1,0,4,
303,F,1.80,3.45,4.64,38350,12600,16100,0,30800,66550,-127250,0,2,3,
302,F,1.87,3.30,4.48,28150,11850,14450,0,39100,50200,-137250,0,1,2,
301,X,1.85,3.46,4.50,16850,8600,10300,31150,0,46300,-147250,4,0,1,
300,L,1.82,3.34,4.82,19900,6300,5450,36200,20950,0,-157250,3,2,0,
299,L,1.85,3.75,4.03,11800,3650,3350,21800,13650,0,-167250,2,1,0,
298,X,1.81,3.74,4.23,42750,3650,24600,77350,0,103950,-15950,1,0,2,GREEN
297,F,1.85,3.39,4.08,15600,13000,19200,0,40800,78300,3800,0,5,1,
296,L,1.87,3.32,4.31,22650,14400,19500,42350,47800,0,-6200,1,4,0,
295,F,1.82,3.54,4.52,25350,11300,15200,0,34300,63550,-16200,0,3,4,
294,F,1.81,3.51,4.44,34150,10600,14100,0,26550,55550,-26200,0,2,3,
293,F,1.80,3.45,4.25,28600,9700,12850,0,33350,41700,-36200,0,1,2,
292,X,1.80,3.33,4.58,15750,7800,8100,28350,0,37000,-46200,2,0,1,
291,L,1.86,3.42,4.32,15950,5100,4600,29650,17350,0,-56200,1,3,0,
290,F,1.86,3.45,4.05,11650,4100,3300,0,14100,13300,-66200,0,2,4,
289,F,1.87,3.35,4.48,30850,23750,33550,0,79500,133500,116800,0,1,3,GREEN
288,X,1.86,3.57,4.18,39350,14850,23800,73150,0,99350,106800,4,0,2,
287,X,1.88,3.49,4.06,24100,11200,16850,45300,0,68350,96800,3,0,1,
286,L,1.83,3.42,4.04,12050,16750,3300,22050,57250,0,86800,2,1,0,
285,X,1.84,3.41,4.32,23950,13000,17950,44050,0,77500,147850,1,0,6,
284,F,1.84,3.51,4.31,29800,11100,15550,0,27750,63050,137850,0,2,5,
283,F,1.82,3.50,4.03,17450,9000,12900,0,31500,47650,127850,0,1,4,
282,X,1.81,3.36,4.18,16950,4250,7400,30650,0,30900,117850,1,0,3,
281,F,1.83,3.41,4.05,22050,4150,8300,0,14150,25200,113700,0,9,2,
